_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
7700,-1.83647287,-2.73978209,-6.53644848,-1.87957621,-2.83084416,-6.72546148,0.0690526813,-0.234837189,-0.284879297,0.0750550255,-0.24267295,-0.286694646,541103648,1663.7358726565726
7703,-1.80159354,-2.70476699,-6.59187984,-1.84678853,-2.80112672,-6.78930044,0.0507508479,-0.222673938,-0.286557913,0.0540198013,-0.226134911,-0.286729693,541103648,1663.7398726567626
7706,-1.76358366,-2.716681,-6.65110064,-1.79822409,-2.78675914,-6.85495996,0.0348317772,-0.207989931,-0.279053092,0.0364569388,-0.212047562,-0.268576771,541103648,1663.7438726569526
7709,-1.73585522,-2.68390059,-6.61825418,-1.74618447,-2.77222061,-6.87780809,0.0101622427,-0.183858663,-0.261180758,0.0174675547,-0.189550951,-0.269438028,541103648,1663.7478726571426
7712,-1.658867,-2.64554882,-6.79184055,-1.70633185,-2.71240473,-6.98275661,0.0162352826,-0.174285933,-0.265455335,0.0162184779,-0.177110717,-0.261405319,541103648,1663.7518726573326
7715,-1.64325154,-2.70862246,-6.78286695,-1.68432653,-2.77180028,-7.00747156,-0.0166348927,-0.147730649,-0.250261754,-0.012924959,-0.153866813,-0.241666406,541103648,1663.7558726575226
7718,-1.57599747,-2.63376403,-6.82976294,-1.59069228,-2.70936346,-7.03043604,-0.0097585097,-0.138020486,-0.234761447,-0.00380128971,-0.140790075,-0.244771749,541103648,1663.7598726577125
7721,-1.54312587,-2.70280075,-7.01643753,-1.55715859,-2.75238585,-7.14703417,-0.0159993079,-0.123244092,-0.234498069,-0.0140129384,-0.125731826,-0.226998419,541103648,1663.7638726579025
7724,-1.43958259,-2.68644977,-6.97711515,-1.52744079,-2.75795794,-7.14233351,-0.0162990335,-0.110729717,-0.212678954,-0.0121314637,-0.117008068,-0.215006545,541103648,1663.7678726580925
7727,-1.39752007,-2.76320934,-7.00466061,-1.44454098,-2.8433609,-7.2116189,-0.023055803,-0.0993938744,-0.206239581,-0.0211340562,-0.104605861,-0.211978212,541103648,1663.7718726582825
7730,-1.38866043,-2.80181408,-7.08721447,-1.3937223,-2.87013555,-7.2577033,-0.0286721159,-0.0900439247,-0.194970891,-0.0260743462,-0.094726257,-0.186782807,541103648,1663.7758726584725
7733,-1.30189395,-2.86360908,-7.14779711,-1.36829841,-2.91452527,-7.28837013,-0.0255936831,-0.0845268741,-0.16371657,-0.0185074154,-0.0892539695,-0.173730448,541103648,1663.7798726586625
7736,-1.29867697,-2.92527437,-7.26226091,-1.35035098,-2.98089814,-7.39524937,-0.0226462726,-0.0799155533,-0.162540868,-0.0200898144,-0.0844864696,-0.156939477,541103648,1663.7838726588525
7739,-1.23668826,-2.93743849,-7.19226933,-1.3177321,-3.03042102,-7.32847309,-0.0265263356,-0.0745824426,-0.137700722,-0.0226379316,-0.0793509483,-0.129312247,541103648,1663.7878726590425
7742,-1.22056353,-2.98413253,-7.29050112,-1.26375103,-3.01055527,-7.47754574,-0.019863788,-0.0765531287,-0.104571156,-0.012471973,-0.0839821771,-0.11690557,541103648,1663.7918726592325
7745,-1.18441629,-3.05747271,-7.30233192,-1.26565492,-3.08406425,-7.47128534,-0.0258970261,-0.0779781267,-0.0916386917,-0.0242154486,-0.0805243328,-0.0865289345,541103648,1663.7958726594225
7748,-1.15825152,-3.04851174,-7.39977741,-1.25427032,-3.07781363,-7.54174519,-0.019832097,-0.0824207738,-0.0544122867,-0.0168993529,-0.0905915499,-0.050150454,541103648,1663.7998726596124
7751,-1.19618595,-3.08901763,-7.50179338,-1.24727583,-3.13442373,-7.66063404,-0.0246747732,-0.0915094614,-0.023773158,-0.0239737239,-0.0939371511,-0.0296894107,541103648,1663.8038726598024
